cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,constraint_satisfied
0.05,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.05,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.055,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.055,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.06,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.06,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.065,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.065,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.07,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.07,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.075,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.075,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.08,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.08,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.085,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.085,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.09,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.09,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.095,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.095,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.1,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.1,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.105,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.105,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.11,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.11,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.115,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.115,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.12,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.12,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.125,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.125,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
0.13,7468.0,0.9209962506695233,0.6612819176654507,0.6648026315789474,0.6630422746221991,0.6491697911087306,0.6628380343123,0.5580110497237569,0.4419889502762431,0.13,0.0,6878.0,3838.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5572476166541568,0.5382641920247137,3838.0,3040.0,6878.0,0.9209962506695233,0.6628380343123,4825.0,0.9374093264248705,0.9781118726508954,4523.0,2643.0,0.8910329171396141,0.05732484076433121,2355.0,
