bin_index,limit_price,empirical_gc,mean_h2_gc,upper_0.8,upper_0.9,upper_0.95
6,0.49,0.6836734693877551,0.7552146911621094,0.7195919038439986,0.7388493037504515,0.7542892008877362
6,0.5,0.7448979591836735,0.7816507816314697,0.7773249739118354,0.794979227666558,0.8089963970321276
6,0.51,0.7857142857142857,0.8047488331794739,0.81531275951254,0.8316410091067177,0.8445012993721136
6,0.52,0.8061224489795918,0.8285295367240906,0.8341296430766311,0.8497041888413913,0.8619127209391412
6,0.53,0.8163265306122449,0.8490714430809021,0.8434882856915153,0.8586605061692666,0.8705226037875372
6,0.54,0.8469387755102041,0.8661223649978638,0.8713389570726819,0.8851892158279665,0.8959194160174054
6,0.55,0.8571428571428571,0.889854371547699,0.8805381756258985,0.8939048204320146,0.9042232015117885
6,0.56,0.8775510204081632,0.9074550271034241,0.8987882130304263,0.9111122860404275,0.9205466862678426
6,0.57,0.9183673469387755,0.9202756881713867,0.9345321213134741,0.9443895833709584,0.9517524581932632
6,0.58,0.9591836734693877,0.9342209696769714,0.9686460049818211,0.9752299349946225,0.9798912444324113
6,0.59,0.9591836734693877,0.9495678544044495,0.9686460049818211,0.9752299349946225,0.9798912444324113
6,0.6,0.9693877551020408,0.9597691297531128,0.9767162994731423,0.9822625343280028,0.986083053360333
6,0.61,0.9693877551020408,0.9680681228637695,0.9767162994731423,0.9822625343280028,0.986083053360333
6,0.62,0.9795918367346939,0.9744665026664734,0.9844575809760863,0.9888169381115095,0.9916905766060132
6,0.63,0.9897959183673469,0.9797501564025879,0.9916653653539127,0.9946153648841087,0.996398717169247
6,0.64,1.0,0.9849189519882202,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.65,1.0,0.9887956976890564,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.66,1.0,0.9920448064804077,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.67,1.0,0.9940422773361206,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.68,1.0,0.9948832988739014,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.69,1.0,0.996082067489624,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.7,1.0,0.9972414374351501,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.71,1.0,0.9978118538856506,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.72,1.0,0.9981386065483093,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.73,1.0,0.9987244009971619,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.74,1.0,0.9989929795265198,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.75,1.0,0.9993177056312561,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.76,1.0,0.9994564652442932,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.77,1.0,0.9995928406715393,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.78,1.0,0.9997341632843018,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.79,1.0,0.9998306035995483,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.8,1.0,0.9998847842216492,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.81,1.0,0.9999253153800964,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.82,1.0,0.9999673962593079,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.83,1.0,0.999980628490448,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.84,1.0,0.9999887347221375,0.9977485630290066,0.9989363184777597,0.9994820201132021
6,0.85,1.0,0.9999921917915344,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.01,0.0,0.008993743918836117,0.01612551760757035,0.02299004270077471,0.029806673773350886
7,0.02,0.0,0.018637698143720627,0.01612551760757035,0.02299004270077471,0.029806673773350886
7,0.03,0.0,0.028049875050783157,0.01612551760757035,0.02299004270077471,0.029806673773350886
7,0.04,0.01020408163265306,0.034273743629455566,0.029942423559697215,0.03872111896922205,0.047021239728140644
7,0.05,0.01020408163265306,0.04428580775856972,0.029942423559697215,0.03872111896922205,0.047021239728140644
7,0.06,0.01020408163265306,0.05614957958459854,0.029942423559697215,0.03872111896922205,0.047021239728140644
7,0.07,0.02040816326530612,0.062434177845716476,0.04272704329366381,0.05286513659686045,0.0622280956867187
7,0.08,0.02040816326530612,0.07065854966640472,0.04272704329366381,0.05286513659686045,0.0622280956867187
7,0.09,0.030612244897959183,0.07990862429141998,0.05500193021831546,0.06623584074530633,0.0764570956032081
7,0.1,0.05102040816326531,0.09479875862598419,0.0786863305246063,0.09166826886340322,0.10325709754800565
7,0.11,0.061224489795918366,0.10866769403219223,0.09024421744536533,0.10395467590566797,0.1161118434387964
7,0.12,0.07142857142857142,0.12088747322559357,0.10166567714182573,0.11603482550523113,0.12870460304827244
7,0.13,0.09183673469387756,0.1309157907962799,0.12418870556816415,0.13971137752690063,0.15327514365732645
7,0.14,0.10204081632653061,0.14492253959178925,0.1353206398785102,0.15135364543579527,0.16531105635555593
7,0.15,0.10204081632653061,0.15729787945747375,0.1353206398785102,0.15135364543579527,0.16531105635555593
7,0.16,0.10204081632653061,0.16876037418842316,0.1353206398785102,0.15135364543579527,0.16531105635555593
7,0.17,0.12244897959183673,0.18101388216018677,0.15737654859903333,0.17432350931216048,0.1889822835344356
7,0.18,0.14285714285714285,0.19587792456150055,0.1792010954316656,0.19694319219570927,0.2122074714860211
7,0.19,0.15306122448979592,0.20586428046226501,0.19003940712748243,0.20814105921353937,0.22367737538144403
7,0.2,0.15306122448979592,0.2197435200214386,0.19003940712748243,0.20814105921353937,0.22367737538144403
7,0.21,0.16326530612244897,0.232627272605896,0.2008336119068674,0.21927213865380574,0.23506214608566636
7,0.22,0.17346938775510204,0.24248839914798737,0.21158688858815497,0.23034123668946171,0.24636789505786097
7,0.23,0.20408163265306123,0.2537226974964142,0.24362675007767406,0.26321535509380045,0.279860255674997
7,0.24,0.22448979591836735,0.2639271020889282,0.2648236042071358,0.284884421437408,0.3018734057488959
7,0.25,0.23469387755102042,0.2801048457622528,0.2753779808024401,0.2956522114790731,0.3127948231916118
7,0.26,0.25510204081632654,0.29637643694877625,0.296405020522038,0.31706397015394255,0.334479649518096
7,0.27,0.2653061224489796,0.3082989752292633,0.30687984575850064,0.32771121070362424,0.34524722553895343
7,0.28,0.2653061224489796,0.3194759786128998,0.30687984575850064,0.32771121070362424,0.34524722553895343
7,0.29,0.2755102040816326,0.3332464396953583,0.3173301361211222,0.3383212680102421,0.35596734219177417
7,0.3,0.2857142857142857,0.3509760797023773,0.3277567222120373,0.348895399273573,0.3666416011452142
7,0.31,0.29591836734693877,0.3622583746910095,0.33816035483833384,0.35943474099998407,0.37727145046159916
7,0.32,0.3163265306122449,0.3766506612300873,0.3589014147124997,0.38041307512977207,0.39840304193994847
7,0.33,0.32653061224489793,0.3940030336380005,0.36924001648231225,0.3908538457362322,0.40890705032889224
7,0.34,0.336734693877551,0.41615426540374756,0.3795580256060673,0.4012634010135088,0.41937120417250695
7,0.35,0.37755102040816324,0.4426157772541046,0.42063269537697934,0.4426024310811339,0.4608457986299014
7,0.36,0.40816326530612246,0.46111059188842773,0.4512410446116137,0.4733070658140197,0.49156912738063696
7,0.37,0.4387755102040816,0.48146501183509827,0.4816875988112744,0.5037664153906907,0.5219792264734808
7,0.38,0.4489795918367347,0.4982675313949585,0.4918013272796981,0.5138662844211347,0.5320479277232164
7,0.39,0.47959183673469385,0.5147221684455872,0.5220387973780742,0.5440086570974816,0.5620532385982524
7,0.4,0.5102040816326531,0.5472429990768433,0.5521220168170886,0.5739171880428169,0.591759931227139
7,0.41,0.5102040816326531,0.5717597007751465,0.5521220168170886,0.5739171880428169,0.591759931227139
7,0.42,0.5204081632653061,0.5897794961929321,0.5621155752064073,0.5838348815926755,0.6015959934415591
7,0.43,0.5306122448979592,0.6092724800109863,0.5720920077561438,0.5937266143666955,0.6113989054194002
7,0.44,0.5306122448979592,0.6348137259483337,0.5720920077561438,0.5937266143666955,0.6113989054194002
7,0.45,0.5408163265306123,0.6609411239624023,0.5820512618961499,0.6035923072987115,0.6211685669556994
7,0.46,0.5816326530612245,0.6860610842704773,0.6217146837286701,0.6427919513861908,0.6599112430462184
7,0.47,0.6530612244897959,0.7120159864425659,0.6904314538329045,0.7103392346744002,0.7263678024581901
7,0.48,0.673469387755102,0.7340758442878723,0.7098922048187333,0.7293769261788017,0.7450215964457696
7,0.49,0.6836734693877551,0.7552146911621094,0.7195919038439986,0.7388493037504515,0.7542892008877362
7,0.5,0.7448979591836735,0.7816507816314697,0.7773249739118354,0.794979227666558,0.8089963970321276
7,0.51,0.7857142857142857,0.8047488331794739,0.81531275951254,0.8316410091067177,0.8445012993721136
7,0.52,0.8061224489795918,0.8285295367240906,0.8341296430766311,0.8497041888413913,0.8619127209391412
7,0.53,0.8163265306122449,0.8490714430809021,0.8434882856915153,0.8586605061692666,0.8705226037875372
7,0.54,0.8469387755102041,0.8661223649978638,0.8713389570726819,0.8851892158279665,0.8959194160174054
7,0.55,0.8571428571428571,0.889854371547699,0.8805381756258985,0.8939048204320146,0.9042232015117885
7,0.56,0.8775510204081632,0.9074550271034241,0.8987882130304263,0.9111122860404275,0.9205466862678426
7,0.57,0.9183673469387755,0.9202756881713867,0.9345321213134741,0.9443895833709584,0.9517524581932632
7,0.58,0.9591836734693877,0.9342209696769714,0.9686460049818211,0.9752299349946225,0.9798912444324113
7,0.59,0.9591836734693877,0.9495678544044495,0.9686460049818211,0.9752299349946225,0.9798912444324113
7,0.6,0.9693877551020408,0.9597691297531128,0.9767162994731423,0.9822625343280028,0.986083053360333
7,0.61,0.9693877551020408,0.9680681228637695,0.9767162994731423,0.9822625343280028,0.986083053360333
7,0.62,0.9795918367346939,0.9744665026664734,0.9844575809760863,0.9888169381115095,0.9916905766060132
7,0.63,0.9897959183673469,0.9797501564025879,0.9916653653539127,0.9946153648841087,0.996398717169247
7,0.64,1.0,0.9849189519882202,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.65,1.0,0.9887956976890564,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.66,1.0,0.9920448064804077,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.67,1.0,0.9940422773361206,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.68,1.0,0.9948832988739014,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.69,1.0,0.996082067489624,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.7,1.0,0.9972414374351501,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.71,1.0,0.9978118538856506,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.72,1.0,0.9981386065483093,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.73,1.0,0.9987244009971619,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.74,1.0,0.9989929795265198,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.75,1.0,0.9993177056312561,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.76,1.0,0.9994564652442932,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.77,1.0,0.9995928406715393,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.78,1.0,0.9997341632843018,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.79,1.0,0.9998306035995483,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.8,1.0,0.9998847842216492,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.81,1.0,0.9999253153800964,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.82,1.0,0.9999673962593079,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.83,1.0,0.999980628490448,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.84,1.0,0.9999887347221375,0.9977485630290066,0.9989363184777597,0.9994820201132021
7,0.85,1.0,0.9999921917915344,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.01,0.0,0.008993743918836117,0.01612551760757035,0.02299004270077471,0.029806673773350886
8,0.02,0.0,0.018637698143720627,0.01612551760757035,0.02299004270077471,0.029806673773350886
8,0.03,0.0,0.028049875050783157,0.01612551760757035,0.02299004270077471,0.029806673773350886
8,0.04,0.01020408163265306,0.034273743629455566,0.029942423559697215,0.03872111896922205,0.047021239728140644
8,0.05,0.01020408163265306,0.04428580775856972,0.029942423559697215,0.03872111896922205,0.047021239728140644
8,0.06,0.01020408163265306,0.05614957958459854,0.029942423559697215,0.03872111896922205,0.047021239728140644
8,0.07,0.02040816326530612,0.062434177845716476,0.04272704329366381,0.05286513659686045,0.0622280956867187
8,0.08,0.02040816326530612,0.07065854966640472,0.04272704329366381,0.05286513659686045,0.0622280956867187
8,0.09,0.030612244897959183,0.07990862429141998,0.05500193021831546,0.06623584074530633,0.0764570956032081
8,0.1,0.05102040816326531,0.09479875862598419,0.0786863305246063,0.09166826886340322,0.10325709754800565
8,0.11,0.061224489795918366,0.10866769403219223,0.09024421744536533,0.10395467590566797,0.1161118434387964
8,0.12,0.07142857142857142,0.12088747322559357,0.10166567714182573,0.11603482550523113,0.12870460304827244
8,0.13,0.09183673469387756,0.1309157907962799,0.12418870556816415,0.13971137752690063,0.15327514365732645
8,0.14,0.10204081632653061,0.14492253959178925,0.1353206398785102,0.15135364543579527,0.16531105635555593
8,0.15,0.10204081632653061,0.15729787945747375,0.1353206398785102,0.15135364543579527,0.16531105635555593
8,0.16,0.10204081632653061,0.16876037418842316,0.1353206398785102,0.15135364543579527,0.16531105635555593
8,0.17,0.12244897959183673,0.18101388216018677,0.15737654859903333,0.17432350931216048,0.1889822835344356
8,0.18,0.14285714285714285,0.19587792456150055,0.1792010954316656,0.19694319219570927,0.2122074714860211
8,0.19,0.15306122448979592,0.20586428046226501,0.19003940712748243,0.20814105921353937,0.22367737538144403
8,0.2,0.15306122448979592,0.2197435200214386,0.19003940712748243,0.20814105921353937,0.22367737538144403
8,0.21,0.16326530612244897,0.232627272605896,0.2008336119068674,0.21927213865380574,0.23506214608566636
8,0.22,0.17346938775510204,0.24248839914798737,0.21158688858815497,0.23034123668946171,0.24636789505786097
8,0.23,0.20408163265306123,0.2537226974964142,0.24362675007767406,0.26321535509380045,0.279860255674997
8,0.24,0.22448979591836735,0.2639271020889282,0.2648236042071358,0.284884421437408,0.3018734057488959
8,0.25,0.23469387755102042,0.2801048457622528,0.2753779808024401,0.2956522114790731,0.3127948231916118
8,0.26,0.25510204081632654,0.29637643694877625,0.296405020522038,0.31706397015394255,0.334479649518096
8,0.27,0.2653061224489796,0.3082989752292633,0.30687984575850064,0.32771121070362424,0.34524722553895343
8,0.28,0.2653061224489796,0.3194759786128998,0.30687984575850064,0.32771121070362424,0.34524722553895343
8,0.29,0.2755102040816326,0.3332464396953583,0.3173301361211222,0.3383212680102421,0.35596734219177417
8,0.3,0.2857142857142857,0.3509760797023773,0.3277567222120373,0.348895399273573,0.3666416011452142
8,0.31,0.29591836734693877,0.3622583746910095,0.33816035483833384,0.35943474099998407,0.37727145046159916
8,0.32,0.3163265306122449,0.3766506612300873,0.3589014147124997,0.38041307512977207,0.39840304193994847
8,0.33,0.32653061224489793,0.3940030336380005,0.36924001648231225,0.3908538457362322,0.40890705032889224
8,0.34,0.336734693877551,0.41615426540374756,0.3795580256060673,0.4012634010135088,0.41937120417250695
8,0.35,0.37755102040816324,0.4426157772541046,0.42063269537697934,0.4426024310811339,0.4608457986299014
8,0.36,0.40816326530612246,0.46111059188842773,0.4512410446116137,0.4733070658140197,0.49156912738063696
8,0.37,0.4387755102040816,0.48146501183509827,0.4816875988112744,0.5037664153906907,0.5219792264734808
8,0.38,0.4489795918367347,0.4982675313949585,0.4918013272796981,0.5138662844211347,0.5320479277232164
8,0.39,0.47959183673469385,0.5147221684455872,0.5220387973780742,0.5440086570974816,0.5620532385982524
8,0.4,0.5102040816326531,0.5472429990768433,0.5521220168170886,0.5739171880428169,0.591759931227139
8,0.41,0.5102040816326531,0.5717597007751465,0.5521220168170886,0.5739171880428169,0.591759931227139
8,0.42,0.5204081632653061,0.5897794961929321,0.5621155752064073,0.5838348815926755,0.6015959934415591
8,0.43,0.5306122448979592,0.6092724800109863,0.5720920077561438,0.5937266143666955,0.6113989054194002
8,0.44,0.5306122448979592,0.6348137259483337,0.5720920077561438,0.5937266143666955,0.6113989054194002
8,0.45,0.5408163265306123,0.6609411239624023,0.5820512618961499,0.6035923072987115,0.6211685669556994
8,0.46,0.5816326530612245,0.6860610842704773,0.6217146837286701,0.6427919513861908,0.6599112430462184
8,0.47,0.6530612244897959,0.7120159864425659,0.6904314538329045,0.7103392346744002,0.7263678024581901
8,0.48,0.673469387755102,0.7340758442878723,0.7098922048187333,0.7293769261788017,0.7450215964457696
8,0.49,0.6836734693877551,0.7552146911621094,0.7195919038439986,0.7388493037504515,0.7542892008877362
8,0.5,0.7448979591836735,0.7816507816314697,0.7773249739118354,0.794979227666558,0.8089963970321276
8,0.51,0.7857142857142857,0.8047488331794739,0.81531275951254,0.8316410091067177,0.8445012993721136
8,0.52,0.8061224489795918,0.8285295367240906,0.8341296430766311,0.8497041888413913,0.8619127209391412
8,0.53,0.8163265306122449,0.8490714430809021,0.8434882856915153,0.8586605061692666,0.8705226037875372
8,0.54,0.8469387755102041,0.8661223649978638,0.8713389570726819,0.8851892158279665,0.8959194160174054
8,0.55,0.8571428571428571,0.889854371547699,0.8805381756258985,0.8939048204320146,0.9042232015117885
8,0.56,0.8775510204081632,0.9074550271034241,0.8987882130304263,0.9111122860404275,0.9205466862678426
8,0.57,0.9183673469387755,0.9202756881713867,0.9345321213134741,0.9443895833709584,0.9517524581932632
8,0.58,0.9591836734693877,0.9342209696769714,0.9686460049818211,0.9752299349946225,0.9798912444324113
8,0.59,0.9591836734693877,0.9495678544044495,0.9686460049818211,0.9752299349946225,0.9798912444324113
8,0.6,0.9693877551020408,0.9597691297531128,0.9767162994731423,0.9822625343280028,0.986083053360333
8,0.61,0.9693877551020408,0.9680681228637695,0.9767162994731423,0.9822625343280028,0.986083053360333
8,0.62,0.9795918367346939,0.9744665026664734,0.9844575809760863,0.9888169381115095,0.9916905766060132
8,0.63,0.9897959183673469,0.9797501564025879,0.9916653653539127,0.9946153648841087,0.996398717169247
8,0.64,1.0,0.9849189519882202,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.65,1.0,0.9887956976890564,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.66,1.0,0.9920448064804077,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.67,1.0,0.9940422773361206,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.68,1.0,0.9948832988739014,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.69,1.0,0.996082067489624,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.7,1.0,0.9972414374351501,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.71,1.0,0.9978118538856506,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.72,1.0,0.9981386065483093,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.73,1.0,0.9987244009971619,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.74,1.0,0.9989929795265198,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.75,1.0,0.9993177056312561,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.76,1.0,0.9994564652442932,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.77,1.0,0.9995928406715393,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.78,1.0,0.9997341632843018,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.79,1.0,0.9998306035995483,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.8,1.0,0.9998847842216492,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.81,1.0,0.9999253153800964,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.82,1.0,0.9999673962593079,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.83,1.0,0.999980628490448,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.84,1.0,0.9999887347221375,0.9977485630290066,0.9989363184777597,0.9994820201132021
8,0.85,1.0,0.9999921917915344,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.01,0.0,0.008993743918836117,0.01612551760757035,0.02299004270077471,0.029806673773350886
9,0.02,0.0,0.018637698143720627,0.01612551760757035,0.02299004270077471,0.029806673773350886
9,0.03,0.0,0.028049875050783157,0.01612551760757035,0.02299004270077471,0.029806673773350886
9,0.04,0.01020408163265306,0.034273743629455566,0.029942423559697215,0.03872111896922205,0.047021239728140644
9,0.05,0.01020408163265306,0.04428580775856972,0.029942423559697215,0.03872111896922205,0.047021239728140644
9,0.06,0.01020408163265306,0.05614957958459854,0.029942423559697215,0.03872111896922205,0.047021239728140644
9,0.07,0.02040816326530612,0.062434177845716476,0.04272704329366381,0.05286513659686045,0.0622280956867187
9,0.08,0.02040816326530612,0.07065854966640472,0.04272704329366381,0.05286513659686045,0.0622280956867187
9,0.09,0.030612244897959183,0.07990862429141998,0.05500193021831546,0.06623584074530633,0.0764570956032081
9,0.1,0.05102040816326531,0.09479875862598419,0.0786863305246063,0.09166826886340322,0.10325709754800565
9,0.11,0.061224489795918366,0.10866769403219223,0.09024421744536533,0.10395467590566797,0.1161118434387964
9,0.12,0.07142857142857142,0.12088747322559357,0.10166567714182573,0.11603482550523113,0.12870460304827244
9,0.13,0.09183673469387756,0.1309157907962799,0.12418870556816415,0.13971137752690063,0.15327514365732645
9,0.14,0.10204081632653061,0.14492253959178925,0.1353206398785102,0.15135364543579527,0.16531105635555593
9,0.15,0.10204081632653061,0.15729787945747375,0.1353206398785102,0.15135364543579527,0.16531105635555593
9,0.16,0.10204081632653061,0.16876037418842316,0.1353206398785102,0.15135364543579527,0.16531105635555593
9,0.17,0.12244897959183673,0.18101388216018677,0.15737654859903333,0.17432350931216048,0.1889822835344356
9,0.18,0.14285714285714285,0.19587792456150055,0.1792010954316656,0.19694319219570927,0.2122074714860211
9,0.19,0.15306122448979592,0.20586428046226501,0.19003940712748243,0.20814105921353937,0.22367737538144403
9,0.2,0.15306122448979592,0.2197435200214386,0.19003940712748243,0.20814105921353937,0.22367737538144403
9,0.21,0.16326530612244897,0.232627272605896,0.2008336119068674,0.21927213865380574,0.23506214608566636
9,0.22,0.17346938775510204,0.24248839914798737,0.21158688858815497,0.23034123668946171,0.24636789505786097
9,0.23,0.20408163265306123,0.2537226974964142,0.24362675007767406,0.26321535509380045,0.279860255674997
9,0.24,0.22448979591836735,0.2639271020889282,0.2648236042071358,0.284884421437408,0.3018734057488959
9,0.25,0.23469387755102042,0.2801048457622528,0.2753779808024401,0.2956522114790731,0.3127948231916118
9,0.26,0.25510204081632654,0.29637643694877625,0.296405020522038,0.31706397015394255,0.334479649518096
9,0.27,0.2653061224489796,0.3082989752292633,0.30687984575850064,0.32771121070362424,0.34524722553895343
9,0.28,0.2653061224489796,0.3194759786128998,0.30687984575850064,0.32771121070362424,0.34524722553895343
9,0.29,0.2755102040816326,0.3332464396953583,0.3173301361211222,0.3383212680102421,0.35596734219177417
9,0.3,0.2857142857142857,0.3509760797023773,0.3277567222120373,0.348895399273573,0.3666416011452142
9,0.31,0.29591836734693877,0.3622583746910095,0.33816035483833384,0.35943474099998407,0.37727145046159916
9,0.32,0.3163265306122449,0.3766506612300873,0.3589014147124997,0.38041307512977207,0.39840304193994847
9,0.33,0.32653061224489793,0.3940030336380005,0.36924001648231225,0.3908538457362322,0.40890705032889224
9,0.34,0.336734693877551,0.41615426540374756,0.3795580256060673,0.4012634010135088,0.41937120417250695
9,0.35,0.37755102040816324,0.4426157772541046,0.42063269537697934,0.4426024310811339,0.4608457986299014
9,0.36,0.40816326530612246,0.46111059188842773,0.4512410446116137,0.4733070658140197,0.49156912738063696
9,0.37,0.4387755102040816,0.48146501183509827,0.4816875988112744,0.5037664153906907,0.5219792264734808
9,0.38,0.4489795918367347,0.4982675313949585,0.4918013272796981,0.5138662844211347,0.5320479277232164
9,0.39,0.47959183673469385,0.5147221684455872,0.5220387973780742,0.5440086570974816,0.5620532385982524
9,0.4,0.5102040816326531,0.5472429990768433,0.5521220168170886,0.5739171880428169,0.591759931227139
9,0.41,0.5102040816326531,0.5717597007751465,0.5521220168170886,0.5739171880428169,0.591759931227139
9,0.42,0.5204081632653061,0.5897794961929321,0.5621155752064073,0.5838348815926755,0.6015959934415591
9,0.43,0.5306122448979592,0.6092724800109863,0.5720920077561438,0.5937266143666955,0.6113989054194002
9,0.44,0.5306122448979592,0.6348137259483337,0.5720920077561438,0.5937266143666955,0.6113989054194002
9,0.45,0.5408163265306123,0.6609411239624023,0.5820512618961499,0.6035923072987115,0.6211685669556994
9,0.46,0.5816326530612245,0.6860610842704773,0.6217146837286701,0.6427919513861908,0.6599112430462184
9,0.47,0.6530612244897959,0.7120159864425659,0.6904314538329045,0.7103392346744002,0.7263678024581901
9,0.48,0.673469387755102,0.7340758442878723,0.7098922048187333,0.7293769261788017,0.7450215964457696
9,0.49,0.6836734693877551,0.7552146911621094,0.7195919038439986,0.7388493037504515,0.7542892008877362
9,0.5,0.7448979591836735,0.7816507816314697,0.7773249739118354,0.794979227666558,0.8089963970321276
9,0.51,0.7857142857142857,0.8047488331794739,0.81531275951254,0.8316410091067177,0.8445012993721136
9,0.52,0.8061224489795918,0.8285295367240906,0.8341296430766311,0.8497041888413913,0.8619127209391412
9,0.53,0.8163265306122449,0.8490714430809021,0.8434882856915153,0.8586605061692666,0.8705226037875372
9,0.54,0.8469387755102041,0.8661223649978638,0.8713389570726819,0.8851892158279665,0.8959194160174054
9,0.55,0.8571428571428571,0.889854371547699,0.8805381756258985,0.8939048204320146,0.9042232015117885
9,0.56,0.8775510204081632,0.9074550271034241,0.8987882130304263,0.9111122860404275,0.9205466862678426
9,0.57,0.9183673469387755,0.9202756881713867,0.9345321213134741,0.9443895833709584,0.9517524581932632
9,0.58,0.9591836734693877,0.9342209696769714,0.9686460049818211,0.9752299349946225,0.9798912444324113
9,0.59,0.9591836734693877,0.9495678544044495,0.9686460049818211,0.9752299349946225,0.9798912444324113
9,0.6,0.9693877551020408,0.9597691297531128,0.9767162994731423,0.9822625343280028,0.986083053360333
9,0.61,0.9693877551020408,0.9680681228637695,0.9767162994731423,0.9822625343280028,0.986083053360333
9,0.62,0.9795918367346939,0.9744665026664734,0.9844575809760863,0.9888169381115095,0.9916905766060132
9,0.63,0.9897959183673469,0.9797501564025879,0.9916653653539127,0.9946153648841087,0.996398717169247
9,0.64,1.0,0.9849189519882202,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.65,1.0,0.9887956976890564,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.66,1.0,0.9920448064804077,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.67,1.0,0.9940422773361206,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.68,1.0,0.9948832988739014,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.69,1.0,0.996082067489624,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.7,1.0,0.9972414374351501,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.71,1.0,0.9978118538856506,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.72,1.0,0.9981386065483093,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.73,1.0,0.9987244009971619,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.74,1.0,0.9989929795265198,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.75,1.0,0.9993177056312561,0.9977485630290066,0.9989363184777597,0.9994820201132021
9,0.76,1.0,0.9994564652442932,0.9977485630290066,0.9989363184777597,0.9994820201132021
